rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1426452441388720000,,0,,1426452441,388492020,'',,,0.6023787856,-0.0150183188,-0.1393555552,,0,0,0,1
1426452441448870000,,1,,1426452441,445120945,'',,,0.7330436707,-0.0220609736,0.065775156,,0,0,0,1
1426452441494630000,,2,,1426452441,494393640,'',,,0.842723012,-0.0181740299,0.1348665208,,0,0,0,1
1426452441546550000,,3,,1426452441,546250053,'',,,1.0310180187,-0.0318393558,0.2467948794,,0,0,0,1
1426452441597950000,,4,,1426452441,597712972,'',,,1.130435586,-0.0369688496,0.2975461483,,0,0,0,1
1426452441652760000,,5,,1426452441,652544205,'',,,1.340893507,-0.020659212,0.340623796,,0,0,0,1
1426452441701410000,,6,,1426452441,700686196,'',,,1.472006917,-0.055330921,0.4041667283,,0,0,0,1
1426452441758920000,,7,,1426452441,758706206,'',,,1.5584437847,-0.0609905273,0.4093343019,,0,0,0,1
1426452441805470000,,8,,1426452441,805225060,'',,,1.7340023518,-0.070013769,0.3853731155,,0,0,0,1
1426452441857530000,,9,,1426452441,857303470,'',,,1.8284362555,-0.0701373816,0.3456798792,,0,0,0,1
1426452441911110000,,10,,1426452441,907887126,'',,,1.9842224121,-0.0847463757,0.2472439408,,0,0,0,1
1426452441958090000,,11,,1426452441,957861985,'',,,2.0797741413,-0.0908134282,0.1601810902,,0,0,0,1
1426452442010160000,,12,,1426452442,8824430,'',,,2.1938045025,-0.1024184898,0.0156894196,,0,0,0,1
1426452442059700000,,13,,1426452442,59425851,'',,,2.2659115791,-0.1041953191,-0.0873964503,,0,0,0,1
1426452442109690000,,14,,1426452442,109386076,'',,,2.4076597691,-0.1146870553,-0.3185511827,,0,0,0,1
1426452442162990000,,15,,1426452442,162741348,'',,,2.4637606144,-0.087856032,-0.4366249144,,0,0,0,1
1426452442215920000,,16,,1426452442,214243900,'',,,2.5641064644,-0.1309157461,-0.6821458936,,0,0,0,1
1426452442262980000,,17,,1426452442,262765232,'',,,2.6227316856,-0.1331769377,-0.8124349713,,0,0,0,1
1426452442365480000,,18,,1426452442,365263623,'',,,2.7877938747,-0.1380352676,-1.035230279,,0,0,0,1
1426452442418520000,,19,,1426452442,418317626,'',,,2.7392892838,-0.0987612158,-1.012196064,,0,0,0,1
1426452442466510000,,20,,1426452442,466017457,'',,,2.7369880676,-0.1137176156,-0.9804909229,,0,0,0,1
1426452442518750000,,21,,1426452442,518552105,'',,,2.7456729412,-0.1136155427,-0.9738661647,,0,0,0,1
1426452442568300000,,22,,1426452442,568025327,'',,,2.7536411285,-0.0978935212,-0.9661018252,,0,0,0,1
1426452442620180000,,23,,1426452442,619948879,'',,,2.7742891312,-0.1060155109,-0.9670085907,,0,0,0,1
1426452442672480000,,24,,1426452442,672181651,'',,,2.7927942276,-0.0978069007,-1.033934474,,0,0,0,1
1426452444184750000,,25,,1426452444,182834201,'',,,0.6851165295,0.0016356269,-0.111415416,,0,0,0,1
1426452444234170000,,26,,1426452444,233939963,'',,,0.917147398,0.0095434617,0.0656308457,,0,0,0,1
1426452444286080000,,27,,1426452444,285868413,'',,,1.016854763,0.0087287212,0.1507595181,,0,0,0,1
1426452444332380000,,28,,1426452444,332152257,'',,,1.2312967777,0.0134737128,0.2800930142,,0,0,0,1
1426452444384880000,,29,,1426452444,381995377,'',,,1.3825743198,0.0169900879,0.3046946824,,0,0,0,1
1426452444432320000,,30,,1426452444,432111139,'',,,1.429272294,0.0221991185,0.3719364405,,0,0,0,1
1426452444484800000,,31,,1426452444,482800060,'',,,1.629737258,0.0269885454,0.4288479388,,0,0,0,1
1426452444531940000,,32,,1426452444,531731616,'',,,1.8166154623,0.0309600104,0.4471314847,,0,0,0,1
1426452444586440000,,33,,1426452444,585173347,'',,,1.9041323662,0.0369694196,0.4369729459,,0,0,0,1
1426452444635380000,,34,,1426452444,635140269,'',,,2.1511013508,0.0376765132,0.3252293766,,0,0,0,1
1426452444688590000,,35,,1426452444,688393337,'',,,2.1715357304,0.0362947918,0.3342296183,,0,0,0,1
1426452444738140000,,36,,1426452444,737849678,'',,,2.3461389542,0.0355591103,0.2015512586,,0,0,0,1
1426452444790670000,,37,,1426452444,790451491,'',,,2.4172847271,0.0315410905,0.1356438249,,0,0,0,1
1426452444837910000,,38,,1426452444,837645716,'',,,2.5723567009,0.0292422548,-0.0415247642,,0,0,0,1
1426452444890880000,,39,,1426452444,890686695,'',,,2.6506476402,0.0268309414,-0.1632303894,,0,0,0,1
1426452444939040000,,40,,1426452444,938697934,'',,,2.7703139782,0.0239665955,-0.3789118826,,0,0,0,1
1426452444991460000,,41,,1426452444,991234337,'',,,2.8150165081,0.0198343061,-0.4849999845,,0,0,0,1
1426452445038570000,,42,,1426452445,38364948,'',,,2.9140906334,0.0130560892,-0.7519424558,,0,0,0,1
1426452445110920000,,43,,1426452445,110701092,'',,,2.9849135876,0.0845694095,-0.8882380724,,0,0,0,1
1426452445217410000,,44,,1426452445,216614719,'',,,3.0823218823,0.0046888129,-1.0422528982,,0,0,0,1
1426452445318980000,,45,,1426452445,317637789,'',,,3.1675167084,0.0055447975,-1.0329746008,,0,0,0,1
1426452445365090000,,46,,1426452445,364827606,'',,,3.1667222977,0.0035182491,-1.0419490337,,0,0,0,1
1426452446476270000,,47,,1426452446,476019001,'',,,0.6882976294,-0.1017141566,-0.2035446018,,0,0,0,1
1426452446531930000,,48,,1426452446,531773791,'',,,0.7768644691,-0.1081702262,-0.1045046821,,0,0,0,1
1426452446584480000,,49,,1426452446,583497302,'',,,0.9930521846,-0.1123393476,0.0823402256,,0,0,0,1
1426452446636310000,,50,,1426452446,636060058,'',,,1.1066285372,-0.1130475849,0.1624546647,,0,0,0,1
1426452446686760000,,51,,1426452446,686571134,'',,,1.3374285698,-0.1164526716,0.2852748632,,0,0,0,1
1426452446735090000,,52,,1426452446,734876735,'',,,1.5201015472,-0.1320016831,0.3938779533,,0,0,0,1
1426452446786930000,,53,,1426452446,785380591,'',,,1.6391413212,-0.1193949357,0.4125460386,,0,0,0,1
1426452446835360000,,54,,1426452446,835138542,'',,,1.8092873097,-0.1476329267,0.4701750577,,0,0,0,1
1426452446887560000,,55,,1426452446,886828952,'',,,1.9312499762,-0.1693144739,0.4500678182,,0,0,0,1
1426452446935310000,,56,,1426452446,935115100,'',,,2.1145510674,-0.1368216127,0.4167510271,,0,0,0,1
1426452446987990000,,57,,1426452446,986833785,'',,,2.2812831402,-0.1686819792,0.3312031031,,0,0,0,1
1426452447035790000,,58,,1426452447,35571072,'',,,2.382014513,-0.1762502491,0.3017160296,,0,0,0,1
1426452447088040000,,59,,1426452447,87847081,'',,,2.4911310673,-0.1494761854,0.2015692145,,0,0,0,1
1426452447139060000,,60,,1426452447,138841598,'',,,2.6294622421,-0.1848344654,0.0614180043,,0,0,0,1
1426452447192540000,,61,,1426452447,191255590,'',,,2.6910684109,-0.1369401813,-0.0602352954,,0,0,0,1
1426452447240730000,,62,,1426452447,240522992,'',,,2.8344368935,-0.2139871866,-0.2539310455,,0,0,0,1
1426452447295930000,,63,,1426452447,295727594,'',,,2.9048523903,-0.2199865431,-0.3800371289,,0,0,0,1
1426452447346840000,,64,,1426452447,346609745,'',,,3.0361938477,-0.2348839045,-0.616086185,,0,0,0,1
1426452447400220000,,65,,1426452447,399967219,'',,,3.0909368992,-0.2038352191,-0.7563390732,,0,0,0,1
1426452447450110000,,66,,1426452447,449514848,'',,,3.1950209141,-0.2504508495,-1.0267558098,,0,0,0,1
1426452447556720000,,67,,1426452447,556533929,'',,,3.2379837036,-0.2547187209,-1.0134108067,,0,0,0,1
1426452447605220000,,68,,1426452447,605003535,'',,,3.249001503,-0.2372428775,-0.989331007,,0,0,0,1
1426452447658930000,,69,,1426452447,658753845,'',,,3.2077174187,-0.2519311011,-0.9569824934,,0,0,0,1
1426452447707550000,,70,,1426452447,707272692,'',,,3.2146143913,-0.1380816996,-0.961801827,,0,0,0,1
1426452447761530000,,71,,1426452447,761287601,'',,,3.2240309715,-0.2883799076,-0.9463096857,,0,0,0,1
1426452447809720000,,72,,1426452447,809519355,'',,,3.2493197918,-0.3172712624,-0.9998508692,,0,0,0,1
1426452447862220000,,73,,1426452447,862002585,'',,,3.276746273,-0.2996820211,-1.0487896204,,0,0,0,1
1426452448929600000,,74,,1426452448,929356770,'',,,0.6582877636,0.0058891764,-0.2169647664,,0,0,0,1
1426452448980340000,,75,,1426452448,980043912,'',,,0.8428722024,0.0422315821,-0.0106712393,,0,0,0,1
1426452449033510000,,76,,1426452449,33161342,'',,,0.9449461699,0.0612966903,0.1026578844,,0,0,0,1
1426452449082390000,,77,,1426452449,82168362,'',,,1.1914595366,0.1092852354,0.2884866595,,0,0,0,1
1426452449133710000,,78,,1426452449,133239161,'',,,1.2952383757,0.1240820959,0.3821650743,,0,0,0,1
1426452449181830000,,79,,1426452449,181620775,'',,,1.5124633312,0.1684300303,0.5138370395,,0,0,0,1
1426452449238420000,,80,,1426452449,238231001,'',,,1.6009348631,0.17923823,0.5855267644,,0,0,0,1
1426452449289560000,,81,,1426452449,288927050,'',,,1.8151210547,0.2157068253,0.6577959657,,0,0,0,1
1426452449338030000,,82,,1426452449,337824378,'',,,2.0015301704,0.2585192919,0.7068659067,,0,0,0,1
1426452449386580000,,83,,1426452449,386127817,'',,,2.105701685,0.2755594552,0.7059673667,,0,0,0,1
1426452449436630000,,84,,1426452449,436433672,'',,,2.2058973312,0.2917826176,0.6927566528,,0,0,0,1
1426452449485950000,,85,,1426452449,485667530,'',,,2.3995215893,0.3309008479,0.6128880978,,0,0,0,1
1426452449536970000,,86,,1426452449,536765763,'',,,2.478972435,0.3325745761,0.5900316238,,0,0,0,1
1426452449590960000,,87,,1426452449,589843918,'',,,2.6490414143,0.3439639211,0.4381785691,,0,0,0,1
1426452449642250000,,88,,1426452449,641964190,'',,,2.7973086834,0.3859704733,0.2908235192,,0,0,0,1
1426452449694720000,,89,,1426452449,694481346,'',,,2.8793992996,0.404453814,0.1790238172,,0,0,0,1
